"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",-0.242801114143921,-0.510365782405223,-0.373132164113884,-0.340817067303159,-0.174520854511459,-0.405376847351012,-0.466795769798642,-0.209042824974282,-0.511168955766605,-0.375303348825055,-0.181713347945707,-0.0706570897703801,-0.406967306823963,-0.278530412036198,-0.0858219773865145,-0.100793682801428,-0.190328759614307
"deficit",-0.208464074003153,-0.183209854687149,-0.363026610133738,-0.314624844892279,-0.296889524492682,-0.499219232994782,-0.191520175497145,-0.299168018521654,-0.060476909534885,-0.0207527806438045,-0.301961123836421,-0.387110508536277,-0.243347600590432,-0.323218087605909,-0.218759934838702,-0.219197021242897,-0.410369185054857
"dtr",-0.258650765525007,-0.100831726289269,-0.251806498377091,-0.395922922940321,-0.222953610548539,-0.415198781352406,-0.206978083312034,-0.416471058156518,-0.185105315087736,-0.257614410943015,-0.19516856723729,-0.186247689794602,-0.157473631279935,-0.336627912367037,-0.194520993995796,-0.169152636711376,-0.310034809245643
"pet",-0.193452655418743,-0.198374769173256,-0.207237150045795,-0.357496269335773,-0.370030116123107,-0.531188380616802,-0.18447531380836,-0.377406181725454,-0.250819580514733,-0.178008712647713,-0.252332117276013,-0.322186983554164,-0.119765224934358,-0.336106338566903,-0.325310188398665,-0.325055284702297,-0.32866226751983
"pre",-0.415759302083636,-0.27471456376514,-0.176111188349896,-0.135734880028459,-0.339293061557349,-0.259543739408934,-0.541378283022515,-0.173562289969541,-0.438670590092336,-0.449843042386194,-0.225203524357512,-0.303842745384807,-0.261108592620963,-0.386121137886541,-0.182550227708904,-0.287302882690226,-0.394072012907115
"tmn",-0.160285962468851,-0.235491751044637,-0.386592504184317,-0.286000766170174,-0.461486314982314,-0.394883642793001,-0.298147584656018,-0.105743731364883,-0.496329578189163,-0.332155589745733,-0.292870472250167,-0.301614636629295,-0.329658475402725,-0.307599139899277,-0.241696237641659,-0.526538479661735,-0.599849138711687
"tmp",-0.151597591489406,-0.23226996119625,-0.37938995564505,-0.394068312723635,-0.391104119396836,-0.540013242263045,-0.304135532691601,-0.252947155635695,-0.518943302074756,-0.372018987350622,-0.318425650229546,-0.309033074704452,-0.260572615301899,-0.290961583495862,-0.30712590238745,-0.420180727074166,-0.567311693519454
"tmx",-0.209335285740044,-0.230879625734433,-0.31656823502786,-0.377924780949838,-0.364511104336605,-0.533625259055644,-0.295306740025214,-0.332348391556326,-0.504601723737684,-0.396890435620552,-0.31456930306129,-0.283657068775327,-0.276512275910855,-0.251402983222802,-0.327826463273798,-0.27816847459468,-0.46467776876185
"vap",-0.151291763302761,-0.237256552346417,-0.468056252905213,-0.282271819477505,-0.433454474641739,-0.242765997535574,-0.371857862341317,-0.185795079138145,-0.500651121554217,-0.412903510280065,-0.385076697843525,-0.296374987008135,-0.416837071968355,-0.316310552833429,-0.242007424819599,-0.335331811748646,-0.374360386524561
"wet",-0.393043843240203,-0.310064071889087,-0.22753531457152,-0.203773412864312,-0.216981067501567,-0.240858365411408,-0.494782231120486,-0.143722514479838,-0.462254986745607,-0.437707627005771,-0.259015915984582,-0.268936874535742,-0.236013759414925,-0.277867819760493,-0.150810486080181,-0.273833620298457,-0.315435874002592
"PDSI_prewhiten",-0.38575504659804,-0.277496969711001,-0.256589202842836,-0.126854714102374,-0.298611038536483,-0.243795281837183,-0.422603974996021,-0.3327888461873,-0.346976194114837,-0.365806867706517,-0.150189528726942,-0.290023087688633,-0.276357782292737,-0.259962837625509,-0.0910600239063909,-0.14692276419562,-0.17124123181756
